condition;chain;color_markers;generation
distractor;20;6;1
distractor;20;0;2
distractor;20;2;3
distractor;20;2;4
distractor;20;4;5
distractor;21;0;1
distractor;21;0;2
distractor;21;16;3
distractor;21;16;4
distractor;21;16;5
distractor;22;1;1
distractor;22;7;2
distractor;22;16;3
distractor;22;16;4
distractor;22;16;5
distractor;23;11;1
distractor;23;x;2
distractor;23;x;3
distractor;23;x;4
distractor;23;x;5
distractor;24;16;1
distractor;24;16;2
distractor;24;16;3
distractor;24;16;4
distractor;24;16;5
distractor;25;1;1
distractor;25;8;2
distractor;25;16;3
distractor;25;16;4
distractor;25;16;5
distractor;26;16;1
distractor;26;16;2
distractor;26;16;3
distractor;26;16;4
distractor;26;16;5
distractor;27;7;1
distractor;27;x;2
distractor;27;x;3
distractor;27;x;4
distractor;27;x;5
distractor;28;16;1
distractor;28;16;2
distractor;28;16;3
distractor;28;16;4
distractor;28;16;5
distractor;29;3;1
distractor;29;12;2
distractor;29;x;3
distractor;29;x;4
distractor;29;x;5
distractor;30;16;1
distractor;30;16;2
distractor;30;16;3
distractor;30;16;4
distractor;30;16;5
distractor;31;11;1
distractor;31;16;2
distractor;31;16;3
distractor;31;16;4
distractor;31;16;5
distractor;32;0;1
distractor;32;3;2
distractor;32;7;3
distractor;32;16;4
distractor;32;16;5
distractor;33;1;1
distractor;33;16;2
distractor;33;16;3
distractor;33;16;4
distractor;33;16;5
distractor;34;0;1
distractor;34;16;2
distractor;34;16;3
distractor;34;16;4
distractor;34;16;5
distractor;35;14;1
distractor;35;16;2
distractor;35;16;3
distractor;35;16;4
distractor;35;16;5
distractor;36;0;1
distractor;36;0;2
distractor;36;12;3
distractor;36;16;4
distractor;36;16;5
distractor;37;6;1
distractor;37;8;2
distractor;37;3;3
distractor;37;7;4
distractor;37;16;5
distractor;38;7;1
distractor;38;7;2
distractor;38;6;3
distractor;38;15;4
distractor;38;16;5
distractor;39;0;1
distractor;39;7;2
distractor;39;16;3
distractor;39;16;4
distractor;39;16;5
distractor;40;2;1
distractor;40;5;2
distractor;40;16;3
distractor;40;16;4
distractor;40;16;5
distractor;41;16;1
distractor;41;x;2
distractor;41;x;3
distractor;41;x;4
distractor;41;x;5
control;1;0;1
control;1;0;2
control;1;0;3
control;1;5;4
control;1;4;5
control;2;1;1
control;2;0;2
control;2;0;3
control;2;0;4
control;2;0;5
control;3;1;1
control;3;0;2
control;3;3;3
control;3;0;4
control;3;13;5
control;4;0;1
control;4;0;2
control;4;2;3
control;4;0;4
control;4;16;5
control;5;13;1
control;5;16;2
control;5;16;3
control;5;16;4
control;5;16;5
control;6;0;1
control;6;16;2
control;6;16;3
control;6;16;4
control;6;16;5
control;7;1;1
control;7;x;2
control;7;x;3
control;7;x;4
control;7;x;5
control;8;0;1
control;8;6;2
control;8;8;3
control;8;5;4
control;8;1;5
control;9;0;1
control;9;0;2
control;9;6;3
control;9;15;4
control;9;16;5
control;10;0;1
control;10;0;2
control;10;0;3
control;10;0;4
control;10;0;5
control;11;1;1
control;11;0;2
control;11;3;3
control;11;3;4
control;11;0;5
control;12;0;1
control;12;0;2
control;12;0;3
control;12;0;4
control;12;3;5
control;13;16;1
control;13;16;2
control;13;16;3
control;13;16;4
control;13;16;5
control;14;13;1
control;14;15;2
control;14;16;3
control;14;16;4
control;14;16;5
control;15;1;1
control;15;1;2
control;15;0;3
control;15;2;4
control;15;5;5
control;16;0;1
control;16;0;2
control;16;0;3
control;16;0;4
control;16;0;5
control;17;8;1
control;17;8;2
control;17;6;3
control;17;0;4
control;17;1;5
control;18;3;1
control;18;2;2
control;18;2;3
control;18;0;4
control;18;0;5
control;19;0;1
control;19;16;2
control;19;16;3
control;19;16;4
control;19;16;5
